content,stemming,label
Syuka bs liat2 karakter manusia yg beraneka ragam bs nambh tmn ..bs jg cari jodo...,"['syuka', 'karakter', 'manusia', 'aneka', 'ragam', 'nambh', 'tmn', 'cari', 'jodo']",1.0
"Entah kenapa belakangan ini tiktok suka ngelag dan banyak makan paket, saya harap kedepan nya bisa diperbaiki dan juga semoga ditambah fitur penggolongan pencarian dimana kita bisa mencari konten sesuai keinginan kita","['tiktok', 'suka', 'lot', 'makan', 'paket', 'harap', 'depan', 'baik', 'moga', 'tambah', 'fitur', 'golong', 'cari', 'mana', 'cari', 'konten', 'sesuai']",-1.0
👍👍👍👍👍👍,"['', '', '', '', '', '']",1.0
Ni orang yang komen pada Napa ya??,['komen'],1.0
"awas sja yh besok blm diganti,ak bakal ratain perusahaanmu","['awas', 'sja', 'besok', 'digantiak', 'ratain', 'usaha']",-1.0
Kurang bagus aja filter,"['bagus', 'filter']",1.0
Sangat baik dan bermanfaat,['manfaat'],1.0
Bagus sihh,"['bagus', 'sihh']",-1.0
Heppy,['heppy'],1.0
"Tolong gua udah lapor masalah ga di tanggepin, gua udh 1k folower ga bisa live","['tolong', 'gua', 'lapor', 'tanggepin', 'gua', 'folower', 'live']",-1.0
Gak jelas ni tiktok. Masak gak di gunakan. Paket ke sedot terus. Hadeh gak jelas aplikasi nya,"['tiktok', 'masak', 'paket', 'sedot', 'aplikasi']",-1.0
Sering tertutup otomatis,"['tutup', 'otomatis']",-1.0
Sangat menghibur,['hibur'],1.0
"Gimana sih ,apk nya malh mkin g jls ,ps udh di update mlh mkin menjadi jdi ,dulu ps gk di update mlh bagus bngt apk nya bda sma yng skrng sring lag sering keluar dri apk sndiri","['aplikasi', 'malh', 'mkin', 'jls', 'ps', 'mlh', 'mkin', 'ps', 'tidak', 'mlh', 'bagus', 'bngt', 'aplikasi', 'bda', 'skrng', 'sring', 'lag', 'aplikasi', 'sndiri']",-1.0
Sangat puas,['puas'],1.0
"Min ini bug ato apa y ko fyp tiktok aku isinya random banget enggak kaya dulu sekarang isi fyp tiktok ku acak sampe males buat buka ,mohon ini bug ato bukan ya kalo bug tolong di perbaiki🙏🙏","['minimal', 'bug', 'fyp', 'tiktok', 'isi', 'random', 'banget', 'isi', 'fyp', 'tiktok', 'ku', 'acak', 'sampe', 'malas', 'buka', 'bug', 'bug', 'tolong', 'baik', '', '']",-1.0
Suka se x,['suka'],1.0
Top z,['top'],1.0
Bagus sekali,['bagus'],1.0
Apk nya sangat bagus bole ngertiin perasan,"['aplikasi', 'bagus', 'bole', 'ngertiin', 'peras']",0.0
Bagus bgt tapi knp saya tidak bisa daftar kata nya sih blm menertujui aturan tik tok terimakasih😊🙏,"['bagus', 'banget', 'knp', 'daftar', 'tuju', 'atur', 'terimakasih', '', '']",0.0
Good job,['job'],1.0
APK AKHIR ZAMAN INI,"['aplikasi', 'zaman']",-1.0
Centang biru,"['centang', 'biru']",1.0
Rtm 🎃,"['rtm', '']",1.0
Keren 👍,"['keren', '']",1.0
Sangat bagus,['bagus'],1.0
Bgs,['bagus'],1.0
Lancar lancar aja tuh yg bilang gk lancar munkin hpnya jelek kaya aku dong ip,"['lancar', 'lancar', 'tidak', 'lancar', 'munkin', 'hpnya', 'jelek', 'ip']",1.0
Apk ini harus di hapus pls,"['aplikasi', 'hapus']",-1.0
Aplikasi yang sangat bagus,"['aplikasi', 'bagus']",1.0
Menghibur,['hibur'],1.0
Banyak bnget masalah,['bnget'],-1.0
Bagus..dan suka Tiktok,"['bagusdan', 'suka', 'tiktok']",1.0
Kontl,['kontl'],-1.0
Sering sering kasih vidio gw fyp ya tiktok 😜.@14imm_,"['kasih', 'vidio', 'fyp', 'tiktok', '', 'imm']",1.0
Bagus,['bagus'],1.0
Sangat recommended,['recommended'],1.0
Baguss bagusss abguss baguss bagusss bagsusus bagususususususususuusususususubagayai8s8sisus bagusss bagusss bagusss bagusss baguu s bagust bgt 😭,"['baguss', 'bagusss', 'abguss', 'baguss', 'bagusss', 'bagsusus', 'bagususususususususuusususususubagayaissisus', 'bagusss', 'bagusss', 'bagusss', 'bagusss', 'baguu', 'bagust', 'banget', '']",1.0
Saya suka aplikasi tik tok ini. Saya suka banget adikku pun suka,"['suka', 'aplikasi', 'suka', 'banget', 'adik', 'suka']",1.0
"Halo developer, saya pengguna tiktok dengan nama @epw280 ingin mengajukan keluhan yaitu. Dalam 4bulan terakhir saat saya mengupload sebuah konten/vt view yang rata-rata bisa mencapai 5000 penonton tetapi drop bahkan sampai 0 penonton dan saya tidak tau apa penyebabnya. Mohon penjelasan jika akun saya mengalami suatu pelanggaran agar dapat saya benahi🙏😁","['developer', 'guna', 'tiktok', 'nama', 'epw', 'aju', 'keluh', 'mengupload', 'kontenvt', 'view', 'ratarata', 'capai', 'tonton', 'drop', 'tonton', 'sebab', 'jelas', 'akun', 'alami', 'langgar', 'benah', '', '']",-1.0
Bgs tapi Vidio ku gk masukk fyp🗿,"['bagus', 'vidio', 'ku', 'tidak', 'masukk', 'fyp', '']",1.0
y gt,[],1.0
